kk time, kk res, rr std time, rr std res, rr pp time, rr pp res, hc std time, hc std res, hc pp time, hc pp res, anneal std time, anneal std res, anneal pp time, anneal pp res, avg vector val
10,240699,55625,290313347,156864,1570499989,154093,4657892532039,1.10384e+06,35,996047,113,638468,399,5.29789e+11
10,4148361,56321,608776723,155332,48026345,155068,10340133928491,1.19907e+06,59,894792,2707,717601,85,4.98925e+11
10,298206,55828,969288,157520,27949918,154314,4546222886396,1.17839e+06,152,1.05856e+06,0,655446,166,4.72861e+11
11,23684,55875,325972490,158454,37164164,156996,1178968675392,1.13515e+06,392,986312,52,653241,112,5.00052e+11
10,127130,59417,484479428,157969,37444894,159131,1509681082288,1.16882e+06,100,850572,4900,660846,98,5.03697e+11
10,160418,56492,47687012,158791,165442532,168298,4477503566784,1.17374e+06,188,974572,172,658159,52,5.1492e+11
10,576781,56190,12901439,156736,70346089,156908,4194035880107,1.12889e+06,493,962931,763,637431,1,4.86018e+11
10,47340,58564,206779742,160127,399480172,159710,5074504258078,1.16125e+06,202,929212,1438,641301,280,5.0754e+11
10,287137,56368,240336401,153895,258286265,156287,3605625067643,1.10534e+06,1,913761,1519,653458,373,4.8368e+11
10,847408,55622,86895256,153774,342391504,154848,6659346859434,1.12266e+06,46,1.02036e+06,1040,681357,200,4.79842e+11
10,113926,63247,819996106,161433,554287470,155290,10305774054706,1.12927e+06,364,924977,3410,646639,132,5.27903e+11
10,42910,58087,314074118,158610,41034930,157975,1913408195762,1.14566e+06,86,998209,16,628909,144,5.22935e+11
11,192319,55717,504243415,154843,887911203,153650,6251324996595,1.11019e+06,315,936390,5,662688,1367,4.96367e+11
10,1132707,57292,550712135,164175,93863991,160205,1221918245043,1.17716e+06,25,1.00965e+06,157,652372,13,5.54211e+11
10,123543,56090,504739059,157748,132706409,153923,6191195552599,1.07812e+06,131,955116,285,667274,43,4.66179e+11
10,113698,58300,244748600,160369,131112354,153679,204010996750,1.10263e+06,460,922708,2326,673255,86,5.04298e+11
10,11003,58943,84677805,157280,1286840127,153727,6491843764487,1.07626e+06,41,1.00814e+06,229,639593,367,5.10187e+11
10,49824,55737,292470158,157888,356451896,158562,3347927146918,1.10662e+06,98,1.05286e+06,606,645539,240,5.7489e+11
11,339704,55753,860842418,154412,352474924,154651,113816680940,1.10384e+06,122,955309,1048,674366,26,4.95195e+11
10,50911,56070,340099259,158090,127894461,162045,10267119540813,1.12202e+06,81,911509,165,651263,841,4.97659e+11
11,30064,56771,68046068,158077,171494500,153641,3377991931444,1.12409e+06,8,1.01085e+06,378,661442,304,4.51694e+11
10,1685459,57622,329491611,156443,127107037,161806,1445256506343,1.12625e+06,263,943929,617,640648,101,5.08554e+11
10,634009,58515,286037763,157277,247662927,154401,2407329222271,1.11536e+06,27,951125,1469,643645,249,5.65022e+11
10,247892,55947,124339574,157310,429371096,159811,5585605015646,1.10202e+06,6,1.00337e+06,38,647878,178,5.6718e+11
10,487952,55758,329130670,156669,176715310,157114,7217692736738,1.13326e+06,306,959440,30,640012,528,5.11538e+11
10,163263,58232,36296561,156676,100257825,161030,7874822633427,1.10638e+06,47,951039,1223,651954,7,4.80782e+11
10,59343,55683,591012809,153868,42109979,160320,13660143603443,1.13936e+06,185,1.02602e+06,701,647199,527,5.09777e+11
10,92166,58814,398049258,155775,150299714,158249,4743791500130,1.1293e+06,318,939128,50,654151,26,5.44681e+11
